Afghanistan,Kabul,34.52,69.18
Albania,Tirana,41.32,19.82
Algeria,Algiers,36.75,3.05
Andorra,Andorra la Vella,42.5,1.52
Angola,Luanda,-8.83,13.22
Antigua and Barbuda,Saint John's,17.12,-61.85
Argentina,Buenos Aires,-34.58,-58.67
Armenia,Yerevan,40.17,44.5
Australia,Canberra,-35.27,149.13
Australia,Perth,-31.57,115.52
Australia,Brisbane,-27.28,153.02
Austria,Vienna,48.2,16.37
Azerbaijan,Baku,40.38,49.87
Bahamas,Nassau,25.08,-77.35
Bahrain,Manama,26.23,50.57
Bangladesh,Dhaka,23.72,90.4
Barbados,Bridgetown,13.1,-59.62
Belarus,Minsk,53.9,27.57
Belgium,Brussels,50.83,4.33
Belize,Belmopan,17.25,-88.77
Bhutan,Thimphu,27.47,89.63
Bolivia,Sucre,-19.02,-65.26
Bosnia and Herzegovina,Sarajevo,43.87,18.42
Botswana,Gaborone,-24.63,25.9
Brazil,Brasilia,-15.79,-47.88
Brazil,Sao Paulo,-23.33,-46.38
Brazil,Rio de Janeiro,-22.54,-43.12
Brunei,Bandar Seri Begawan,4.88,114.93
Bulgaria,Sofia,42.68,23.32
Burkina Faso,Ouagadougou,12.37,-1.52
Burundi,Gitega,-3.43,29.93
Cambodia,Phnom Penh,11.55,104.92
Cameroon,Yaounde,3.85,11.5
Canada,Ottawa,45.42,-75.7
Canada,Toronto,43.40,-79.25
Canada,Vancouver,49.16,-123.07
Cape Verde,Praia,14.92,-23.52
Central African Republic,Bangui,4.37,18.58
Chad,N'Djamena,12.1,15.03
Chile,Santiago,-33.45,-70.67
China,Beijing,39.92,116.38
China,Shanghai,31.10,121.29
China,Chongqing,29.33,106.30
China,Chengdu,30.40,104.04
China,Guangzhou,23.08,113.15
China,Xian,34.16,108.57
China,Lhasa,29.39,91.07
China,Kashgar,39.28,75.59
Colombia,Bogota,4.71,-74.07
Comoros,Moroni,-11.7,43.23
Costa Rica,San Jose,9.93,-84.09
Croatia,Zagreb,45.8,16
Cuba,Havana,23.12,-82.35
Cyprus,Nicosia,35.17,33.37
Czechia,Prague,50.08,14.47
Denmark,Copenhagen,55.67,12.58
Djibouti,Djibouti,11.58,43.15
Dominica,Roseau,15.3,-61.4
Dominican Republic,Santo Domingo,18.47,-69.9
Congo,Kinshasa/Brazzaville,-4.32,15.3
Ecuador,Quito,-0.22,-78.5
Egypt,Cairo,30.05,31.25
El Salvador,San Salvador,13.7,-89.2
Equatorial Guinea,Malabo,3.75,8.78
Eritrea,Asmara,15.33,38.93
Estonia,Tallinn,59.43,24.72
Eswatini,Mbabane,-26.32,31.13
Ethiopia,Addis Ababa,9.03,38.7
Fiji,Suva,-18.13,178.42
Finland,Helsinki,60.17,24.93
France,Paris,48.87,2.33
Gabon,Libreville,0.38,9.45
Gambia,Banjul,13.45,-16.57
Georgia,Tbilisi,41.68,44.83
Germany,Berlin,52.52,13.4
Ghana,Accra,5.55,-0.22
Greece,Athens,37.98,23.73
Grenada,St. George's,32.38,-64.68
Guatemala,Guatemala City,14.62,-90.52
Guinea,Conakry,9.5,-13.7
Guinea-Bissau,Bissau,11.85,-15.58
Guyana,Georgetown,6.8,-58.15
Haiti,Port-au-Prince,18.53,-72.33
Honduras,Tegucigalpa,14.1,-87.22
Hungary,Budapest,47.5,19.08
Iceland,Reykjavik,64.15,-21.95
India,Delhi,28.6,77.2
India,Kolkata,22.34,88.22
India,Mumbai,18.58,72.50
India,Chennai,13.05,80.16
Indonesia,Jakarta,-6.17,106.82
Indonesia,Surabaya,-7.14,112.44
Iran,Tehran,35.7,51.42
Iraq,Baghdad,33.33,44.4
Ireland,Dublin,53.32,-6.23
Israel/Palestine,Jerusalem,31.77,35.23
Italy,Rome,41.9,12.48
Ivory Coast,Yamoussoukro,6.82,-5.27
Jamaica,Kingston,17.99702,-76.79358
Japan,Tokyo,35.68,139.75
Japan,Osaka,34.42,135.30
Jordan,Amman,31.95,35.93
Kazakhstan,Astana,51.16,71.45
Kenya,Nairobi,-1.28,36.82
Kenya,Mombasa,-4.3,39.40
Kiribati,South Tarawa,1.33,172.98
Kuwait,Kuwait City,29.37,47.97
Kyrgyzstan,Bishkek,42.87,74.6
Laos,Vientiane,17.97,102.6
Latvia,Riga,56.95,24.1
Lebanon,Beirut,33.87,35.5
Lesotho,Maseru,-29.32,27.48
Liberia,Monrovia,6.3,-10.8
Libya,Tripoli,32.88,13.17
Liechtenstein,Vaduz,47.13,9.52
Lithuania,Vilnius,54.68,25.32
Luxembourg,Luxembourg,49.6,6.12
Madagascar,Antananarivo,-18.92,47.52
Malawi,Lilongwe,-13.97,33.78
Malaysia,Kuala Lumpur,3.17,101.7
Malaysia,Kuching,13.3,110.21
Maldives,Male,4.17,73.51
Mali,Bamako,12.65,-8
Malta,Valletta,35.88,14.5
Marshall Islands,Majuro,7.1,171.38
Mauritania,Nouakchott,18.07,-15.97
Mauritius,Port Louis,-20.15,57.48
Mexico,Mexico City,19.43,-99.13
